State,Title,Source,Format,SizeMB,Updated,Filename,URL
Wisconsin,"2022 Wisconsin L2 Voter File Elections Turnout Statistics Aggregated to Counties",L2,CSV,0.2,20230816,WI_l2_2022stats_county.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fvoterfile%2Fl2_2022stats_countyagg_20230403_20230613%2FWI_l2_2022stats_county.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=42364
Wisconsin,"2022 Wisconsin Primary L2 Voter File Aggregated to 2020 Census Blocks",L2,CSV,64.845407,20221130,WI_2022_prim_l2_vf_2020blocks.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fvoterfile%2Fl2_2020blockagg_20221102%2FWI_2022_prim_l2_vf_2020blocks.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=37541
Wisconsin,"2022 Wisconsin Senate Districts Approved Plan","Wisconsin Legislative Technology Services Bureau",SHP,2.8,20220425,wi_sldu_adopted_2022.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Flegislative%2F2021_adopted_plans%2Fwi_sldu_adopted_2022.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=35907
Wisconsin,"2023 Wisconsin Assembly Districts Plan (State Legislative District Lower [SLDL])","WI LTSB",SHP,143.3,20240228,wi_sldl_adopted_2023.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Flegislative%2F2021_adopted_plans%2Fwi_sldl_adopted_2023.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=43276
Wisconsin,"2023 Wisconsin Senate Districts Plan (State Legislative District Upper [SLDU])","WI LTSB",SHP,142.7,20240228,wi_sldu_adopted_2023.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Flegislative%2F2021_adopted_plans%2Fwi_sldu_adopted_2023.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=43275
Wisconsin,"2024 Wisconsin L2 Voter File General Election Turnout Statistics Aggregated to 2020 Census Blocks",L2,CSV,7.6,20250917,WI_l2_2024_gen_stats_2020block.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fvoterfile%2F2024+GEN+%26+PRI+Non-SPLC+States%2FWI_l2_2024_gen_stats_2020block.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=53880
Wisconsin,"2024 Wisconsin L2 Voter File General Election Turnout Statistics Aggregated to Counties",L2,CSV,0.1,20250917,WI_l2_2024_gen_stats_2020county.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fvoterfile%2F2024+GEN+%26+PRI+Non-SPLC+States%2FWI_l2_2024_gen_stats_2020county.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=53881
Wisconsin,"2024 Wisconsin L2 Voter File Primary Election Turnout Statistics Aggregated to 2020 Census Blocks",L2,CSV,7.4,20250917,WI_l2_2024_pri_stats_2020block.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fvoterfile%2F2024+GEN+%26+PRI+Non-SPLC+States%2FWI_l2_2024_pri_stats_2020block.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=53882
Wisconsin,"2024 Wisconsin L2 Voter File Primary Election Turnout Statistics Aggregated to Counties",L2,CSV,0.1,20250917,WI_l2_2024_pri_stats_2020county.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fvoterfile%2F2024+GEN+%26+PRI+Non-SPLC+States%2FWI_l2_2024_pri_stats_2020county.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=53883
Wisconsin,"Data Accessibility Report for the 2021 Redistricting Cycle in Wisconsin",RDH,PDF,0.4,20240305,Wisconsin-Data-Accessibility-for-the-2021-Redistricting-Cycle.pdf,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FREPORTS%2FWisconsin-Data-Accessibility-for-the-2021-Redistricting-Cycle.pdf?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=43357
Wisconsin,"MGGG Wisconsin wards and election results",MGGG,SHP,38.3,20210106,wi_mggg.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fdata_partners%2Fmggg%2Fwi_mggg.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=1532
Wisconsin,"Middle Eastern or North African populations for Wisconsin (2020) at the County level","US Census Bureau",CSV,0.1,20241205,wi_mena_2020_cnty.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FMENA%2Fwi_mena_2020_cnty.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=48450
Wisconsin,"Middle Eastern or North African populations for Wisconsin (2020) at the Place level","US Census Bureau",CSV,0.1,20241205,wi_mena_2020_place.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FMENA%2Fwi_mena_2020_place.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=48451
Wisconsin,"Report on Prison Gerrymandering in Wisconsin",RDH,PDF,9.0,20240828,Wisconsin_Prison_Gerrymandering.pdf,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FREPORTS%2FWisconsin_Prison_Gerrymandering.pdf?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=43242
Wisconsin,"Report on the 2021 Redistricting Cycle in Wisconsin",RDH,PDF,19.4,20240304,WI_2021_Redistricting_Report.pdf,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FREPORTS%2FWI_2021_Redistricting_Report.pdf?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=43335
Wisconsin,"VEST 2016 Wisconsin precinct and election results",VEST,SHP,22.3,20241213,wi_vest_16.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fdata_partners%2Fvest%2F2016%2Fwi_vest_16.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=2643
Wisconsin,"VEST 2018 Wisconsin precinct and election results",VEST,SHP,22.4,20241213,wi_vest_18.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fdata_partners%2Fvest%2F2018%2Fwi_vest_18.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=2642
Wisconsin,"VEST 2020 Wisconsin precinct and election results",VEST,SHP,24.1,20241213,wi_vest_20.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fdata_partners%2Fvest%2F2020%2Fwi_vest_20.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=23397
Wisconsin,"WI: HaystaqDNA 2010 Census Block Group Level P1 Population Projections for 2020 to 2030",HaystaqDNA,CSV,1.7,20210323,wi_2021_2030_bg_proj_p1_2010.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojections%2Fbg_p1_20210317%2Fwi_2021_2030_bg_proj_p1_2010.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=13506
Wisconsin,"WI: HaystaqDNA 2010 Census Block Group Level P1 Population Projections for 2020 to 2030",HaystaqDNA,SHP,14.7,20210323,wi_2021_2030_bg_proj_p1_2010.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojection_geographies%2Fbg_p1_20210317%2Fwi_2021_2030_bg_proj_p1_2010.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=13506
Wisconsin,"WI: HaystaqDNA 2010 Census Block Group Level P2 Population Projections for 2020 to 2030",HaystaqDNA,CSV,2.2,20210323,wi_2021_2030_bg_proj_p2_2010.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojections%2Fbg_p2_20210317%2Fwi_2021_2030_bg_proj_p2_2010.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=13556
Wisconsin,"WI: HaystaqDNA 2010 Census Block Group Level P2 Population Projections for 2020 to 2030",HaystaqDNA,SHP,20.3,20210323,wi_2021_2030_bg_proj_p2_2010.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojection_geographies%2Fbg_p2_20210317%2Fwi_2021_2030_bg_proj_p2_2010.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=13556
Wisconsin,"WI: HaystaqDNA 2010 Census Block Level P1 Population Projections for 2020 to 2030",HaystaqDNA,CSV,66.8,20210323,wi_2021_2030_b_proj_p1_2010.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojections%2Fb_p1_20210317%2Fwi_2021_2030_b_proj_p1_2010.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=13406
Wisconsin,"WI: HaystaqDNA 2010 Census Block Level P1 Population Projections for 2020 to 2030",HaystaqDNA,SHP,969.4,20210323,wi_2021_2030_b_proj_p1_2010.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojection_geographies%2Fb_p1_20210317%2Fwi_2021_2030_b_proj_p1_2010.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=13406
Wisconsin,"WI: HaystaqDNA 2010 Census Block Level P2 Population Projections for 2020 to 2030",HaystaqDNA,CSV,100.2,20210323,wi_2021_2030_b_proj_p2_2010.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojections%2Fb_p2_20210317%2Fwi_2021_2030_b_proj_p2_2010.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=13456
Wisconsin,"WI: HaystaqDNA 2010 Census Block Level P2 Population Projections for 2020 to 2030",HaystaqDNA,SHP,1300,20210323,wi_2021_2030_b_proj_p2_2010.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fprojection_geographies%2Fb_p2_20210317%2Fwi_2021_2030_b_proj_p2_2010.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=13456
Wisconsin,"Wisconsin 116th Congressional District CVAP Data (2020)","US Census Bureau",CSV,0.1,20220329,wi_cvap_2020_cd.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FCVAP%2Fcsv%2F2020%2Fwi_cvap_2020_cd.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=35098
Wisconsin,"Wisconsin 116th Congressional District CVAP Data (2020)","US Census Bureau",SHP,1.2,20220415,wi_cvap_2020_cd.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FCVAP%2Fshp%2F2020%2Fwi_cvap_2020_cd.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=35098
Wisconsin,"Wisconsin 118th Congressional District CVAP Data (2022)","US Census Bureau",SHP,1.1,20240517,wi_cvap_2022_cd.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FCVAP%2F2022%2Fshp%2Fwi_cvap_2022_cd.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=47715
Wisconsin,"Wisconsin 118th Congressional District CVAP Data (2022)","US Census Bureau",CSV,0.1,20240517,wi_cvap_2022_cd.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FCVAP%2F2022%2Fcsv%2Fwi_cvap_2022_cd.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=47715
Wisconsin,"Wisconsin 119th Congressional District CVAP Data (2023)","US Census Bureau",CSV,0.1,20250701,wi_cvap_2023_cd.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FCVAP%2F2023%2Fcsv%2Fwi_cvap_2023_cd.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=53127
Wisconsin,"Wisconsin 119th Congressional District CVAP Data (2023)","US Census Bureau",SHP,0.7,20250701,wi_cvap_2023_cd.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FCVAP%2F2023%2Fshp%2Fwi_cvap_2023_cd.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=53127
Wisconsin,"Wisconsin 2018 General Election Results Disaggregated to the 2020 Block",RDH,SHP,136.1,20250328,wi_2018_gen_2020_blocks.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Fdisag_votes_block%2Fwi_2018_gen_2020_blocks.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=37405
Wisconsin,"Wisconsin 2020 General Election Precinct and Election Results (Extended)",RDH,SHP,21.2,20220503,wi_gen_20_prec.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Ferj_precinct%2Fwi_gen_20_prec.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=35155
Wisconsin,"Wisconsin 2020 Primary Election Precinct and Election Results",RDH,SHP,15.5,20220503,wi_prim_20_prec.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2Ferj_precinct%2Fwi_prim_20_prec.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=35924
Wisconsin,"Wisconsin 2021 Select Citizen Data from the American Community Survey (2017-2021) at the Census Tract level","US Census Bureau",CSV,0.1,20230608,wi_cit_2021_t.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FACS2021%2FCITIZEN%2Ft_cit_2021_csv%2Fwi_cit_2021_t.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=41379
Wisconsin,"Wisconsin 2021 Select Citizen Data from the American Community Survey (2017-2021) at the Census Tract level","US Census Bureau",SHP,7.6,20230608,wi_cit_2021_t.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FACS2021%2FCITIZEN%2Ft_cit_2021_shp%2Fwi_cit_2021_t.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=41379
Wisconsin,"Wisconsin 2021 Select Citizen Data from the American Community Survey (2017-2021) at the County level","US Census Bureau",CSV,0.1,20230608,wi_cit_2021_cnty.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FACS2021%2FCITIZEN%2Fcnty_cit_2021_csv%2Fwi_cit_2021_cnty.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=41329
Wisconsin,"Wisconsin 2021 Select Citizen Data from the American Community Survey (2017-2021) at the County level","US Census Bureau",SHP,1,20230608,wi_cit_2021_cnty.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FACS2021%2FCITIZEN%2Fcnty_cit_2021_shp%2Fwi_cit_2021_cnty.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=41329
Wisconsin,"Wisconsin 2021 Select Educational Attainment Data from the American Community Survey (2017-2021) at the Block Group level","US Census Bureau",CSV,0.1,20230608,wi_edu_2021_bg.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FACS2021%2FEDUCATION%2Fbg_edu_2021_csv%2Fwi_edu_2021_bg.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=41432
Wisconsin,"Wisconsin 2021 Select Educational Attainment Data from the American Community Survey (2017-2021) at the Block Group level","US Census Bureau",SHP,13.9,20230608,wi_edu_2021_bg.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FACS2021%2FEDUCATION%2Fbg_edu_2021_shp%2Fwi_edu_2021_bg.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=41432
Wisconsin,"Wisconsin 2021 Select Educational Attainment Data from the American Community Survey (2017-2021) at the Census Tract level","US Census Bureau",CSV,0.1,20230608,wi_edu_2021_t.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FACS2021%2FEDUCATION%2Ft_edu_2021_csv%2Fwi_edu_2021_t.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=41532
Wisconsin,"Wisconsin 2021 Select Educational Attainment Data from the American Community Survey (2017-2021) at the Census Tract level","US Census Bureau",SHP,7.6,20230608,wi_edu_2021_t.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FACS2021%2FEDUCATION%2Ft_edu_2021_shp%2Fwi_edu_2021_t.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=41532
Wisconsin,"Wisconsin 2021 Select Educational Attainment Data from the American Community Survey (2017-2021) at the County level","US Census Bureau",CSV,0.1,20230608,wi_edu_2021_cnty.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FACS2021%2FEDUCATION%2Fcnty_edu_2021_csv%2Fwi_edu_2021_cnty.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=41482
Wisconsin,"Wisconsin 2021 Select Educational Attainment Data from the American Community Survey (2017-2021) at the County level","US Census Bureau",SHP,1,20230608,wi_edu_2021_cnty.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FACS2021%2FEDUCATION%2Fcnty_edu_2021_shp%2Fwi_edu_2021_cnty.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=41482
Wisconsin,"Wisconsin 2021 Select Income Data from the American Community Survey (2017-2021) at the Block Group level","US Census Bureau",CSV,0.1,20230609,wi_inc_2021_bg.zip,https://redistrictingdatahub.org/wp-json/download/file/web_ready_stage%2FACS2021%2FINCOME%2Fbg_inc_2021_csv%2Fwi_inc_2021_bg.zip?username=YOURUSERNAME&password=YOURPASSWORD&datasetid=41991
